Symbol,EntryDate,EntryPrice,Quantity,TrackType
JSWSTEEL,2026-06-24,1242.2,8,Paper
SHYAMMETL,2026-06-25,935.05,10,Paper
MPHASIS,2026-06-30,2207.8,4,Paper
TATATECH,2026-06-30,715.0,13,Paper
ASAHIINDIA,2026-06-30,838.8,11,Paper
IGL,2026-07-02,156.81,63,Paper
GVT&D,2026-07-06,4401.5,2,Paper
POWERINDIA,2026-07-06,31040.0,1,Paper
ENRIN,2026-07-06,3281.5,3,Paper
UNIONBANK,2026-07-06,163.09,61,Paper
JSWENERGY,2026-07-06,550.2,18,Paper
ELGIEQUIP,2026-07-06,578.55,17,Paper
KOTAKBANK,2026-07-07,381.3,26,Paper
PREMIERENE,2026-07-07,1022.9,9,Paper
