Symbol,Industry,IsBanking
SYRMA,Electronic Components,False
IFCI,Credit Services,True
NETWEB,Computer Hardware,False
MCX,Financial Data & Stock Exchanges,False
PNBHOUSING,Mortgage Finance,True
NIACL,Insurance - Diversified,True
DATAPATTNS,Aerospace & Defense,False
WELCORP,Steel,False
ATHERENERG,Auto Manufacturers,False
INDUSINDBK,Banks - Regional,True
SHRIRAMFIN,Credit Services,True
TVSMOTOR,Auto Manufacturers,False
SOLARINDS,Specialty Chemicals,False
BAJFINANCE,Credit Services,True
CHENNPETRO,Oil & Gas Refining & Marketing,False
GRAPHITE,Electrical Equipment & Parts,False
SONACOMS,Auto Parts,False
POWERINDIA,Electrical Equipment & Parts,False
IDEA,Telecom Services,False
HINDALCO,Aluminum,False
BHEL,Specialty Industrial Machinery,False
PFOCUS,Entertainment,False
HAL,Aerospace & Defense,False
CGPOWER,Electrical Equipment & Parts,False
CHOLAFIN,Credit Services,True
FINCABLES,Electrical Equipment & Parts,False
APARINDS,Electrical Equipment & Parts,False
YESBANK,Banks - Regional,True
TITAN,Luxury Goods,False
ADANIENT,Thermal Coal,False
MAHABANK,Banks - Regional,True
ADANIPOWER,Utilities - Independent Power Producers,False
KIRLOSENG,Specialty Industrial Machinery,False
ADANIENSOL,Utilities - Independent Power Producers,False
GVT&D,Specialty Industrial Machinery,False
JSWSTEEL,Steel,False
IIFL,Credit Services,True
SIEMENS,Specialty Industrial Machinery,False
MARICO,Household & Personal Products,False
HFCL,Communication Equipment,False
ADANIPORTS,Marine Shipping,False
ABB,Specialty Industrial Machinery,False
NAM-INDIA,Asset Management,True
SAIL,Steel,False
HINDZINC,Other Industrial Metals & Mining,False
IDFCFIRSTB,Banks - Regional,True
CUMMINSIND,Specialty Industrial Machinery,False
WELSPUNLIV,Textile Manufacturing,False
NYKAA,Internet Retail,False
OFSS,Software - Infrastructure,False
NATIONALUM,Aluminum,False
FLUOROCHEM,Specialty Chemicals,False
MOTHERSON,Auto Parts,False
RBLBANK,Banks - Regional,True
BEML,Conglomerates,False
BAJAJ-AUTO,Auto Manufacturers,False
ADANIGREEN,Utilities - Renewable,False
CGCL,Credit Services,True
AEGISLOG,Oil & Gas Refining & Marketing,False
GRASIM,Building Materials,False
EICHERMOT,Auto Manufacturers,False
LTF,Credit Services,True
UNIONBANK,Banks - Regional,True
RRKABEL,Electrical Equipment & Parts,False
BHARATFORG,Metal Fabrication,False
MANAPPURAM,Credit Services,True
CARTRADE,Auto & Truck Dealerships,False
FEDERALBNK,Banks - Regional,True
ACUTAAS,Specialty Chemicals,False
MOTILALOFS,Capital Markets,False
HSCL,Specialty Chemicals,False
BOSCHLTD,Auto Parts,False
TITAGARH,Railroads,False
ANGELONE,Capital Markets,False
ABCAPITAL,Financial Conglomerates,False
NESTLEIND,Packaged Foods,False
NAVINFLUOR,Chemicals,False
AUBANK,Banks - Regional,True
GESHIP,Marine Shipping,False
ENDURANCE,Auto Parts,False
CUB,Banks - Regional,True
JINDALSAW,Steel,False
RADICO,Beverages - Wineries & Distilleries,False
SHYAMMETL,Steel,False
ENGINERSIN,Engineering & Construction,False
USHAMART,Steel,False
JSWINFRA,Marine Shipping,False
TATACOMM,Telecom Services,False
ABDL,Beverages - Wineries & Distilleries,False
EXIDEIND,Auto Parts,False
PTCIL,Metal Fabrication,False
GAIL,Utilities - Regulated Gas,False
BELRISE,Auto Parts,False
INDIANB,Banks - Regional,True
OIL,Oil & Gas Integrated,False
ACMESOLAR,Utilities - Renewable,False
BALRAMCHIN,Confectioners,False
PHOENIXLTD,Real Estate - Diversified,False
ZENTEC,Aerospace & Defense,False
KPIL,Engineering & Construction,False
RKFORGE,Metal Fabrication,False
TATATECH,Information Technology Services,False
LLOYDSME,Steel,False
NUVAMA,Asset Management,True
SCHNEIDER,Electrical Equipment & Parts,False
HONASA,Household & Personal Products,False
J&KBANK,Banks - Regional,True
CARBORUNIV,Conglomerates,False
PIDILITIND,Specialty Chemicals,False
CRAFTSMAN,Auto Parts,False
ELGIEQUIP,Specialty Industrial Machinery,False
KARURVYSYA,Banks - Regional,True
HOMEFIRST,Mortgage Finance,True
GABRIEL,Auto Parts,False
MINDACORP,Auto Parts,False
CEMPRO,Engineering & Construction,False
ANANDRATHI,Asset Management,True
AARTIIND,Specialty Chemicals,False
SAREGAMA,Entertainment,False
IKS,Health Information Services,False
ABSLAMC,Asset Management,True
KPRMILL,Textile Manufacturing,False
ZYDUSWELL,Packaged Foods,False
INDGN,Health Information Services,False
SPLPETRO,Specialty Chemicals,False
STARHEALTH,Insurance - Life,True
CREDITACC,Credit Services,True
VTL,Textile Manufacturing,False
GODREJIND,Conglomerates,False
CCL,Packaged Foods,False
KAJARIACER,Building Products & Equipment,False
ZFCVINDIA,Auto Parts,False
THELEELA,Lodging,False
